saleid|itemid|customerid|storeid|time|qty|pricerange
36|14|2|38|49|15|moderate
784|90|182|97|46|31|moderate
801|117|2|43|81|14|outrageous
905|79|119|81|67|44|outrageous
227|68|2|66|67|42|supercheap 
951|102|116|45|35|1|outrageous
492|100|2|7|67|39|outrageous
228|100|16|11|67|27|outrageous
541|65|2|26|39|14|expensive
350|178|24|30|66|17|cheap
618|98|2|35|67|20|outrageous
424|93|2|20|67|14|outrageous
496|98|51|84|76|5|supercheap 
685|89|51|66|67|22|outrageous
161|108|2|30|67|12|moderate
699|18|2|7|67|25|outrageous
472|95|174|62|67|43|outrageous
193|102|51|77|67|16|moderate
682|90|193|28|67|34|outrageous
765|156|59|47|67|9|expensive
871|116|59|57|99|25|outrageous
521|120|140|3|67|45|expensive
969|115|2|50|80|33|outrageous
984|140|36|45|67|5|moderate
452|89|2|61|61|11|outrageous
358|67|2|30|67|47|supercheap 
187|120|74|46|67|40|supercheap 
642|114|2|23|67|25|outrageous
852|106|102|38|67|47|outrageous
352|92|2|21|67|37|outrageous
309|109|25|82|51|2|supercheap 
189|131|157|17|55|39|outrageous
545|128|59|25|67|25|moderate
349|95|2|82|67|49|expensive
25|67|2|44|67|2|expensive
113|145|2|57|67|9|supercheap 
920|105|53|100|49|34|outrageous
996|110|164|34|61|24|outrageous
834|83|102|48|49|26|outrageous
822|129|59|13|67|37|outrageous
312|115|2|22|46|3|outrageous
321|67|23|46|100|30|outrageous
605|84|2|18|67|22|outrageous
885|82|2|57|30|39|expensive
410|101|185|22|92|5|cheap
933|87|2|65|67|37|cheap
363|107|2|76|67|8|outrageous
218|134|2|24|46|37|outrageous
655|98|23|10|28|23|outrageous
847|137|2|17|67|41|outrageous
369|93|2|90|67|34|moderate
639|112|2|27|29|10|outrageous
345|100|2|41|67|36|expensive
911|108|130|73|61|2|outrageous
803|85|59|64|67|24|supercheap 
108|114|2|27|67|33|outrageous
628|99|2|54|67|45|cheap
256|119|59|76|67|42|outrageous
81|108|2|84|68|35|outrageous
223|97|2|9|46|23|supercheap 
583|110|101|89|67|30|outrageous
305|134|2|85|67|46|cheap
151|119|23|33|67|10|cheap
804|83|2|61|67|11|outrageous
829|112|2|70|63|43|supercheap 
146|92|130|83|67|21|outrageous
590|101|32|89|67|43|outrageous
556|116|37|5|74|25|outrageous
230|94|185|96|67|41|expensive
576|71|57|95|67|41|expensive
458|126|198|13|67|24|expensive
558|106|2|57|67|1|moderate
536|76|2|27|67|15|outrageous
542|88|2|52|67|4|outrageous
417|93|168|80|76|40|supercheap 
229|101|59|48|56|38|outrageous
750|114|185|63|27|45|outrageous
382|72|180|77|67|26|outrageous
325|115|2|30|67|47|outrageous
982|107|103|23|29|36|outrageous
244|83|2|75|67|27|expensive
624|117|2|5|16|18|outrageous
891|64|2|10|67|34|outrageous
128|81|43|85|49|26|expensive
446|136|16|85|67|50|outrageous
295|80|2|25|84|34|outrageous
203|20|41|40|67|3|outrageous
769|91|2|62|67|26|cheap
569|133|59|15|67|42|outrageous
570|92|2|87|49|5|outrageous
870|89|185|67|67|31|outrageous
970|100|2|19|61|1|outrageous
553|94|137|20|67|16|outrageous
28|128|166|12|67|25|outrageous
346|90|59|76|67|4|cheap
945|92|2|73|39|2|moderate
710|87|59|78|69|5|outrageous
251|134|59|33|67|15|moderate
450|123|140|75|67|19|outrageous
732|100|157|67|24|20|outrageous
55|64|2|33|46|14|outrageous
675|105|2|12|67|38|outrageous
745|88|186|88|67|11|outrageous
515|199|2|23|5|8|expensive
98|109|2|79|46|29|outrageous
620|90|185|89|67|36|expensive
778|75|160|72|67|17|supercheap 
820|129|130|76|49|9|outrageous
944|102|2|51|3|47|cheap
747|77|185|49|67|3|outrageous
142|77|2|51|67|26|outrageous
32|127|2|95|74|47|outrageous
845|84|25|81|25|2|outrageous
759|81|2|30|46|37|moderate
286|84|59|74|67|38|outrageous
796|99|130|100|56|30|outrageous
843|82|59|35|4|5|outrageous
137|91|182|85|67|18|moderate
692|70|191|4|38|20|outrageous
560|43|38|53|46|47|outrageous
633|121|96|94|67|24|outrageous
893|90|200|59|17|27|outrageous
222|117|47|83|67|11|expensive
936|122|185|64|87|8|outrageous
154|117|2|9|61|2|outrageous
939|104|85|21|46|44|supercheap 
477|115|59|91|67|28|moderate
37|70|2|29|67|12|cheap
909|119|2|44|67|7|outrageous
568|99|2|18|26|20|outrageous
14|97|20|95|9|24|outrageous
120|94|9|43|92|27|outrageous
226|109|185|77|77|8|outrageous
199|89|151|45|4|11|outrageous
152|91|15|18|48|18|moderate
584|105|2|98|67|38|outrageous
469|127|2|77|95|38|outrageous
393|119|196|84|93|28|moderate
24|97|28|61|84|24|outrageous
817|81|2|39|67|11|outrageous
517|119|51|6|51|1|outrageous
204|104|97|31|18|15|expensive
263|184|2|32|51|9|outrageous
415|89|140|27|67|2|cheap
70|72|84|54|67|45|supercheap 
729|84|119|17|67|48|outrageous
497|129|59|63|67|18|moderate
26|109|130|51|99|22|outrageous
61|119|125|55|11|2|outrageous
564|84|196|6|69|25|outrageous
255|122|24|7|67|49|outrageous
49|162|59|25|67|22|expensive
670|99|2|36|95|25|expensive
888|126|2|87|80|19|expensive
602|99|59|16|95|27|outrageous
356|89|47|95|67|37|outrageous
344|129|177|70|67|40|outrageous
319|136|2|56|46|21|outrageous
966|97|2|86|67|45|outrageous
713|9|168|34|67|14|outrageous
332|117|140|98|67|1|outrageous
652|113|2|80|39|35|outrageous
